127.0.0.1, 2016-01-05 10:22:43, GET, /Teste/default/user/register, HTTP/1.1, 200, 0.031915
127.0.0.1, 2016-01-05 10:22:58, POST, /Teste/default/user/register, HTTP/1.1, 303, 0.206287
127.0.0.1, 2016-01-05 10:22:58, GET, /Teste/default/index, HTTP/1.1, 200, 0.042572
127.0.0.1, 2016-01-05 10:23:04, GET, /Teste/default/user/logout, HTTP/1.1, 303, 0.160468
127.0.0.1, 2016-01-05 10:23:04, GET, /Teste/default/index, HTTP/1.1, 200, 0.024279
127.0.0.1, 2016-01-05 10:23:05, GET, /Teste/default/index, HTTP/1.1, 200, 0.017884
127.0.0.1, 2016-01-05 10:24:51, GET, /Teste/default/asasa, HTTP/1.1, 404, 0.025548
127.0.0.1, 2016-01-05 10:24:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000336
127.0.0.1, 2016-01-05 10:24:53, GET, /Teste/default/index, HTTP/1.1, 200, 0.032961
127.0.0.1, 2016-01-05 10:24:55, GET, /Teste/default/index, HTTP/1.1, 200, 0.019059
127.0.0.1, 2016-01-05 10:25:23, GET, /Teste/default/index, HTTP/1.1, 200, 0.022234
127.0.0.1, 2016-01-05 10:25:23, GET, /Teste/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000637
127.0.0.1, 2016-01-05 10:25:23, GET, /Teste/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000537
127.0.0.1, 2016-01-05 10:25:23, GET, /Teste/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001349
127.0.0.1, 2016-01-05 10:25:23, GET, /Teste/static/js/jquery.js, HTTP/1.1, 304, 0.002799
127.0.0.1, 2016-01-05 10:25:23, GET, /Teste/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003150
127.0.0.1, 2016-01-05 10:25:23, GET, /Teste/static/css/calendar.css, HTTP/1.1, 304, 0.001097
127.0.0.1, 2016-01-05 10:25:23, GET, /Teste/static/js/calendar.js, HTTP/1.1, 304, 0.002913
127.0.0.1, 2016-01-05 10:25:23, GET, /Teste/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000473
127.0.0.1, 2016-01-05 10:25:23, GET, /Teste/static/js/share.js, HTTP/1.1, 304, 0.000465
127.0.0.1, 2016-01-05 10:25:23, GET, /Teste/static/js/web2py.js, HTTP/1.1, 304, 0.006805
127.0.0.1, 2016-01-05 10:25:24, GET, /Teste/static/images/twitter.png, HTTP/1.1, 304, 0.000325
